experiment,condition,sample,seed,n,k,r,rx,rz,measurement,probe,source,target,witness_target,result,timed_out,timeout_seconds,build_seconds,solve_seconds,decisions,conflicts,propagations,rlimit_count,assertions,row_operation_variables
permutation_survival,A,9,178332925,16,2,14,7,7,invalid_mapping,1,6,14,1,unsat,False,300.0,0.262656625,0.029061125,3,2,174,29916641,737,196
permutation_survival,A,9,178332925,16,2,14,7,7,invalid_mapping,2,1,8,12,unsat,False,300.0,0.259359083,0.031997667,116,45,3657,30161502,737,196
permutation_survival,B1,9,178332925,16,2,14,7,7,base,,,,,sat,False,300.0,0.252909583,0.069806792,3452,1078,124232,30578927,736,196
permutation_survival,B1,9,178332925,16,2,14,7,7,invalid_mapping,0,15,5,14,unsat,False,300.0,0.252047625,0.043147083,450,337,54258,30863782,737,196
permutation_survival,B1,9,178332925,16,2,14,7,7,invalid_mapping,1,6,14,1,unsat,False,300.0,0.253750291,0.029246041,155,44,3463,31082929,737,196
permutation_survival,B1,9,178332925,16,2,14,7,7,invalid_mapping,2,1,8,12,unsat,False,300.0,0.256397291,0.033500708,396,184,14767,31318525,737,196
permutation_survival,B2,9,178332925,16,2,14,7,7,base,,,,,sat,False,300.0,0.227646125,0.011709583,3,3,47,31463856,736,98
permutation_survival,B2,9,178332925,16,2,14,7,7,invalid_mapping,0,15,5,14,unsat,False,300.0,0.231588542,0.002634125,0,0,0,31484846,737,98
permutation_survival,B2,9,178332925,16,2,14,7,7,invalid_mapping,1,6,14,1,unsat,False,300.0,0.229756125,0.002915834,0,0,0,31506994,737,98
permutation_survival,B2,9,178332925,16,2,14,7,7,invalid_mapping,2,1,8,12,unsat,False,300.0,0.227480000,0.003764625,0,0,0,31533477,737,98
permutation_survival,C,9,178332925,16,2,14,7,7,base,,,,,sat,False,300.0,0.117426625,0.046593792,3130,1256,86635,31799578,512,98
permutation_survival,C,9,178332925,16,2,14,7,7,invalid_mapping,0,15,5,14,unsat,False,300.0,0.119175500,0.017956625,203,89,3212,31922803,513,98
permutation_survival,C,9,178332925,16,2,14,7,7,invalid_mapping,1,6,14,1,unsat,False,300.0,0.118322125,0.003279125,0,0,0,31947312,513,98
permutation_survival,C,9,178332925,16,2,14,7,7,invalid_mapping,2,1,8,12,unsat,False,300.0,0.117542292,0.044812583,2458,1314,110737,32226378,513,98
permutation_survival,A,0,1937133688,18,2,16,8,8,base,,,,,sat,False,300.0,0.365551667,0.071638542,2898,1152,123072,32759570,936,256
permutation_survival,A,0,1937133688,18,2,16,8,8,invalid_mapping,0,9,1,7,unsat,False,300.0,0.366781000,0.005964250,0,0,0,32807710,937,256
permutation_survival,A,0,1937133688,18,2,16,8,8,invalid_mapping,1,5,12,0,unsat,False,300.0,0.363954333,0.062904291,1028,466,65767,33265491,937,256
permutation_survival,A,0,1937133688,18,2,16,8,8,invalid_mapping,2,2,17,8,unsat,False,300.0,0.364324209,0.016959875,0,0,0,33467794,937,256
permutation_survival,B1,0,1937133688,18,2,16,8,8,base,,,,,sat,False,300.0,0.364674208,0.075789084,2144,786,92791,33950473,936,256
permutation_survival,B1,0,1937133688,18,2,16,8,8,invalid_mapping,0,9,1,7,unsat,False,300.0,0.390467375,0.005515791,0,0,0,33995289,937,256
permutation_survival,B1,0,1937133688,18,2,16,8,8,invalid_mapping,1,5,12,0,unsat,False,300.0,0.352548000,0.055714834,717,381,47673,34412175,937,256
permutation_survival,B1,0,1937133688,18,2,16,8,8,invalid_mapping,2,2,17,8,unsat,False,300.0,0.355370875,0.016113708,0,0,0,34608549,937,256
permutation_survival,B2,0,1937133688,18,2,16,8,8,base,,,,,sat,False,300.0,0.321077000,0.019732375,0,0,4,34868432,936,128
permutation_survival,B2,0,1937133688,18,2,16,8,8,invalid_mapping,0,9,1,7,unsat,False,300.0,0.327731500,0.003927875,0,0,0,34898852,937,128
permutation_survival,B2,0,1937133688,18,2,16,8,8,invalid_mapping,1,5,12,0,unsat,False,300.0,0.320354542,0.008230625,0,0,0,34972678,937,128
permutation_survival,B2,0,1937133688,18,2,16,8,8,invalid_mapping,2,2,17,8,unsat,False,300.0,0.341008917,0.005542000,0,0,0,35009901,937,128
permutation_survival,C,0,1937133688,18,2,16,8,8,base,,,,,sat,False,300.0,0.168069167,0.225889583,12401,5187,526438,35989418,648,128
permutation_survival,C,0,1937133688,18,2,16,8,8,invalid_mapping,0,9,1,7,unsat,False,300.0,0.165739750,0.476809500,25498,12361,1265196,37950064,649,128
permutation_survival,C,0,1937133688,18,2,16,8,8,invalid_mapping,1,5,12,0,unsat,False,300.0,0.168277500,0.409038750,16865,8554,1103343,39670680,649,128
