problem,seed,n,k,r,x_rank,class_sizes,q_pairs,status,timeout,memory_limited,error
pm_css,89,5,2,3,3,3 2,0.52,success,False,False,
pm_css,773,5,2,3,3,3 2,0.52,success,False,False,
pm_css,654,5,2,3,1,3 2,0.52,success,False,False,
pm_css,438,5,2,3,3,4 1,0.68,success,False,False,
pm_css,433,5,2,3,1,3 2,0.52,success,False,False,
pm_css,858,5,2,3,0,3 2,0.52,success,False,False,
pm_css,85,5,2,3,2,3 2,0.52,success,False,False,
pm_css,697,5,2,3,3,3 2,0.52,success,False,False,
pm_css,201,5,2,3,1,3 2,0.52,success,False,False,
pm_css,94,5,2,3,0,3 2,0.52,success,False,False,
pm_css,89,5,3,2,2,3 2,0.52,success,False,False,
pm_css,773,5,3,2,2,3 2,0.52,success,False,False,
pm_css,654,5,3,2,0,5,1.0,success,False,False,
pm_css,438,5,3,2,2,3 2,0.52,success,False,False,
pm_css,433,5,3,2,0,5,1.0,success,False,False,
pm_css,858,5,3,2,0,3 2,0.52,success,False,False,
pm_css,85,5,3,2,2,3 2,0.52,success,False,False,
pm_css,697,5,3,2,2,3 2,0.52,success,False,False,
pm_css,201,5,3,2,0,4 1,0.68,success,False,False,
pm_css,94,5,3,2,0,3 2,0.52,success,False,False,
pm_css,89,5,4,1,1,5,1.0,success,False,False,
pm_css,773,5,4,1,1,3 2,0.52,success,False,False,
pm_css,654,5,4,1,0,5,1.0,success,False,False,
pm_css,438,5,4,1,1,3 2,0.52,success,False,False,
pm_css,433,5,4,1,0,3 2,0.52,success,False,False,
pm_css,858,5,4,1,0,3 2,0.52,success,False,False,
pm_css,85,5,4,1,1,3 2,0.52,success,False,False,
pm_css,697,5,4,1,1,5,1.0,success,False,False,
pm_css,201,5,4,1,0,5,1.0,success,False,False,
pm_css,94,5,4,1,0,3 2,0.52,success,False,False,
pm_css,89,6,0,6,6,6,1.0,success,False,False,
pm_css,773,6,0,6,5,4 2,0.5555555555555556,success,False,False,
pm_css,654,6,0,6,2,4 2,0.5555555555555556,success,False,False,
pm_css,438,6,0,6,6,6,1.0,success,False,False,
pm_css,433,6,0,6,1,4 2,0.5555555555555556,success,False,False,
pm_css,858,6,0,6,1,3 3,0.5,success,False,False,
pm_css,85,6,0,6,4,3 2 1,0.3888888888888889,success,False,False,
pm_css,697,6,0,6,5,4 2,0.5555555555555556,success,False,False,
pm_css,201,6,0,6,2,3 2 1,0.3888888888888889,success,False,False,
pm_css,94,6,0,6,0,6,1.0,success,False,False,
pm_css,89,6,1,5,5,5 1,0.7222222222222222,success,False,False,
pm_css,773,6,1,5,5,4 2,0.5555555555555556,success,False,False,
pm_css,654,6,1,5,1,5 1,0.7222222222222222,success,False,False,
pm_css,438,6,1,5,5,4 2,0.5555555555555556,success,False,False,
pm_css,433,6,1,5,1,2 2 2,0.3333333333333333,success,False,False,
pm_css,858,6,1,5,0,5 1,0.7222222222222222,success,False,False,
pm_css,85,6,1,5,4,3 2 1,0.3888888888888889,success,False,False,
pm_css,697,6,1,5,4,4 2,0.5555555555555556,success,False,False,
pm_css,201,6,1,5,1,3 2 1,0.3888888888888889,success,False,False,
pm_css,94,6,1,5,0,4 2,0.5555555555555556,success,False,False,
pm_css,89,6,2,4,4,4 2,0.5555555555555556,success,False,False,
